n_bin,bin,bin_from,bin_to,bin_size,variable,tmp_avg,tmp_djf,tmp_jja,ppt_djf,ppt_jja
150,"(-0.7,-0.675]",-0.7,-0.675,0.025,tmp,1.0777604138599989e-5,0.002920730721560597,0.0017136390580373983,NA,NA
153,"(-0.625,-0.6]",-0.625,-0.6,0.025,tmp,1.0777604138599989e-5,0.013536670798081586,0.001853747911839198,NA,NA
154,"(-0.6,-0.575]",-0.6,-0.575,0.025,tmp,1.0777604138599989e-5,0,0.0016920838497601982,NA,NA
155,"(-0.575,-0.55]",-0.575,-0.55,0.025,tmp,1.0777604138599989e-5,0,0.0016597510373443983,NA,NA
158,"(-0.5,-0.475]",-0.5,-0.475,0.025,tmp,4.3110416554399954e-5,8.622083310879992e-4,0.0016381958290671984,NA,NA
159,"(-0.475,-0.45]",-0.475,-0.45,0.025,tmp,6.466562483159993e-5,0,0.002004634369779598,NA,NA
160,"(-0.45,-0.425]",-0.45,-0.425,0.025,tmp,7.544322897019993e-5,0,0.0017783046828689982,NA,NA
161,"(-0.425,-0.4]",-0.425,-0.4,0.025,tmp,1.0777604138599989e-5,0.01846203588942178,0.0019184135366707982,NA,NA
162,"(-0.4,-0.375]",-0.4,-0.375,0.025,tmp,4.3110416554399954e-5,0,0.0018214150994233982,NA,NA
163,"(-0.375,-0.35]",-0.375,-0.35,0.025,tmp,8.622083310879991e-5,0,0.001939968744947998,NA,NA
164,"(-0.35,-0.325]",-0.35,-0.325,0.025,tmp,6.466562483159993e-5,0,0.0018321927035619982,NA,NA
165,"(-0.325,-0.3]",-0.325,-0.3,0.025,tmp,1.1855364552459988e-4,0.02011100932262758,0.0017028614538987983,NA,NA
166,"(-0.3,-0.275]",-0.3,-0.275,0.025,tmp,1.077760413859999e-4,0,0.0018321927035619982,NA,NA
167,"(-0.275,-0.25]",-0.275,-0.25,0.025,tmp,1.1855364552459988e-4,0,0.002058522390472598,NA,NA
168,"(-0.25,-0.225]",-0.25,-0.225,0.025,tmp,1.1855364552459988e-4,0,0.0021339656194427977,NA,NA
169,"(-0.225,-0.2]",-0.225,-0.2,0.025,tmp,1.6166406207899985e-4,0.02232041817104058,0.0025327369725709975,NA,NA
170,"(-0.2,-0.175]",-0.2,-0.175,0.025,tmp,1.832192703561998e-4,0,0.002209408848412998,NA,NA
171,"(-0.175,-0.15]",-0.175,-0.15,0.025,tmp,3.4488333243519963e-4,0,0.0021339656194427977,NA,NA
172,"(-0.15,-0.125]",-0.15,-0.125,0.025,tmp,2.909953117421997e-4,0,0.0026081802015411972,NA,NA
173,"(-0.125,-0.1]",-0.125,-0.1,0.025,tmp,2.586624993263997e-4,0.025747696287115374,0.0024249609311849975,NA,NA
174,"(-0.1,-0.075]",-0.1,-0.075,0.025,tmp,3.4488333243519963e-4,0,0.0026836234305113974,NA,NA
175,"(-0.075,-0.05]",-0.075,-0.05,0.025,tmp,3.879937489895996e-4,0,0.0025758473891253973,NA,NA
176,"(-0.05,-0.025]",-0.05,-0.025,0.025,tmp,6.143234359001994e-4,0,0.0027051786387885975,NA,NA
177,"(-0.025,0]",-0.025,0,0.025,tmp,4.311041655439996e-4,0.03053295252465377,0.002780621867758797,NA,NA
178,"(0,0.025]",0,0.025,0.025,tmp,4.634369779597995e-4,0,0.002694401034649997,NA,NA
179,"(0.025,0.05]",0.025,0.05,0.025,tmp,4.849921862369995e-4,0,0.0024465161394621976,NA,NA
180,"(0.05,0.075]",0.05,0.075,0.025,tmp,5.927682276229994e-4,0,0.0027482890553429972,NA,NA
181,"(0.075,0.1]",0.075,0.1,0.025,tmp,7.005442690089993e-4,0.03305491189308617,0.002834509888451797,NA,NA
182,"(0.1,0.125]",0.1,0.125,0.025,tmp,7.867651021177992e-4,0,0.002834509888451797,NA,NA
183,"(0.125,0.15]",0.125,0.15,0.025,tmp,6.897666648703993e-4,0,0.0025758473891253973,NA,NA
184,"(0.15,0.175]",0.15,0.175,0.025,tmp,7.867651021177992e-4,0,0.0032009484291641967,NA,NA
185,"(0.175,0.2]",0.175,0.2,0.025,tmp,6.466562483159994e-4,0.034973325429756966,0.002953063533976397,NA,NA
186,"(0.2,0.225]",0.2,0.225,0.025,tmp,9.592067683353991e-4,0,0.0028237322843131974,NA,NA
187,"(0.225,0.25]",0.225,0.25,0.025,tmp,8.622083310879992e-4,0,0.003006951554669397,NA,NA
188,"(0.25,0.275]",0.25,0.275,0.025,tmp,0.001056205205582799,0,0.003103949991916797,NA,NA
189,"(0.275,0.3]",0.275,0.3,0.025,tmp,0.001056205205582799,0.034369779597995365,0.0036428301988467963,NA,NA
190,"(0.3,0.325]",0.3,0.325,0.025,tmp,9.053187476423991e-4,0,0.0032548364498571967,NA,NA
191,"(0.325,0.35]",0.325,0.35,0.025,tmp,0.0012178692676617989,0,0.0036967182195397964,NA,NA
192,"(0.35,0.375]",0.35,0.375,0.025,tmp,0.0013040901007705986,0,0.0035242765533221965,NA,NA
193,"(0.375,0.4]",0.375,0.4,0.025,tmp,0.0012394244759389988,0.03930592229347416,0.0034165005119361964,NA,NA
194,"(0.4,0.425]",0.4,0.425,0.025,tmp,0.0012825348924933987,0,0.003879937489895996,NA,NA
195,"(0.425,0.45]",0.425,0.45,0.025,tmp,0.0014334213504337986,0,0.0032332812415799966,NA,NA
196,"(0.45,0.475]",0.45,0.475,0.025,tmp,0.0016381958290671984,0,0.0037506062402327964,NA,NA
197,"(0.475,0.5]",0.475,0.5,0.025,tmp,0.0015950854125127984,0.036654631675378566,0.003739828636094196,NA,NA
198,"(0.5,0.525]",0.5,0.525,0.025,tmp,0.0018106374952847981,3.125505200193997e-4,0.0035350541574607963,NA,NA
199,"(0.525,0.55]",0.525,0.55,0.025,tmp,0.001853747911839198,0,0.0036967182195397964,NA,NA
200,"(0.55,0.575]",0.55,0.575,0.025,tmp,0.002069299994611198,0,0.0035027213450449964,NA,NA
201,"(0.575,0.6]",0.575,0.6,0.025,tmp,0.002403405722907798,0.03674085250848736,0.0034703885326291964,NA,NA
202,"(0.6,0.625]",0.6,0.625,0.025,tmp,0.0027913994718973974,0,0.0033518348871045965,NA,NA
203,"(0.625,0.65]",0.625,0.65,0.025,tmp,0.002996173950530797,0,0.0034811661367677967,NA,NA
204,"(0.65,0.675]",0.65,0.675,0.025,tmp,0.002974618742253597,0,0.0034811661367677967,NA,NA
205,"(0.675,0.7]",0.675,0.7,0.025,tmp,0.003125505200193997,0.03445600043110417,0.0034165005119361964,NA,NA
206,"(0.7,0.725]",0.7,0.725,0.025,tmp,0.003244058845718597,1.4010885380179986e-4,0.0033518348871045965,NA,NA
207,"(0.725,0.75]",0.725,0.75,0.025,tmp,0.003772161448509996,0,0.0038368270733415964,NA,NA
208,"(0.75,0.775]",0.75,0.775,0.025,tmp,0.003772161448509996,0,0.003912270302311796,NA,NA
209,"(0.775,0.8]",0.775,0.8,0.025,tmp,0.0041709328016381955,0.03683785094573476,0.0036751630112625963,NA,NA
210,"(0.8,0.825]",0.8,0.825,0.025,tmp,0.004440372905103195,0,0.0036212749905695962,NA,NA
211,"(0.825,0.85]",0.825,0.85,0.025,tmp,0.005022363528587595,0,0.0038152718650643963,NA,NA
212,"(0.85,0.875]",0.85,0.875,0.025,tmp,0.005388802069299994,0,0.003793716656787196,NA,NA
213,"(0.875,0.9]",0.875,0.9,0.025,tmp,0.0054642452982701945,0.03909037021070216,0.0034272781160747967,NA,NA
214,"(0.9,0.925]",0.9,0.925,0.025,tmp,0.0053241364444683945,0,0.004106267176806596,NA,NA
215,"(0.925,0.95]",0.925,0.95,0.025,tmp,0.006143234359001994,0,0.004063156760252196,NA,NA
216,"(0.95,0.975]",0.95,0.975,0.025,tmp,0.005625909360349194,0,0.003912270302311796,NA,NA
217,"(0.975,1]",0.975,1,0.025,tmp,0.005625909360349194,0.040211241041116556,0.004235598426469795,NA,NA
218,"(1,1.025]",1,1.025,0.025,tmp,0.005550466131378994,0.0014873093711267986,0.004634369779597996,NA,NA
219,"(1.025,1.05]",1.025,1.05,0.025,tmp,0.005755240610012394,0,0.004332596863717196,NA,NA
220,"(1.05,1.075]",1.05,1.075,0.025,tmp,0.0058845718596755945,0,0.003933825510588996,NA,NA
221,"(1.075,1.1]",1.075,1.1,0.025,tmp,0.005733685401735194,0.04016813062456216,0.004655924987875195,NA,NA
222,"(1.1,1.125]",1.1,1.125,0.025,tmp,0.005722907797596594,0,0.004796033841676995,NA,NA
223,"(1.125,1.15]",1.125,1.15,0.025,tmp,0.005712130193457995,0,0.004106267176806596,NA,NA
224,"(1.15,1.175]",1.15,1.175,0.025,tmp,0.0056366869644877944,0,0.004397262488548796,NA,NA
225,"(1.175,1.2]",1.175,1.2,0.025,tmp,0.005367246861022795,0.04042679312388856,0.004106267176806596,NA,NA
226,"(1.2,1.225]",1.2,1.225,0.025,tmp,0.005076251549280595,0.0017459718704531983,0.003966158323004796,NA,NA
227,"(1.225,1.25]",1.225,1.25,0.025,tmp,0.004990030716171795,0,0.004569704154766396,NA,NA
228,"(1.25,1.275]",1.25,1.275,0.025,tmp,0.005162472382389395,0,0.004494260925796196,NA,NA
229,"(1.275,1.3]",1.275,1.3,0.025,tmp,0.005119361965834995,0.04141833270463976,0.004903809883062995,NA,NA
230,"(1.3,1.325]",1.3,1.325,0.025,tmp,0.004957697903755995,0,0.005291803632052595,NA,NA
231,"(1.325,1.35]",1.325,1.35,0.025,tmp,0.0053241364444683945,0,0.005054696341003395,NA,NA
232,"(1.35,1.375]",1.35,1.375,0.025,tmp,0.006143234359001994,0,0.005227138007220995,NA,NA
233,"(1.375,1.4]",1.375,1.4,0.025,tmp,0.005766018214150994,0.035910976989815165,0.005140917174112195,NA,NA
234,"(1.4,1.425]",1.4,1.425,0.025,tmp,0.006024680713477394,0,0.0054965781106859945,NA,NA
235,"(1.425,1.45]",1.425,1.45,0.025,tmp,0.006121679150724794,0,0.005227138007220995,NA,NA
236,"(1.45,1.475]",1.45,1.475,0.025,tmp,0.006574338524545993,0,0.005151694778250795,NA,NA
237,"(1.475,1.5]",1.475,1.5,0.025,tmp,0.006186344775556394,0.035932532198092365,0.005140917174112195,NA,NA
238,"(1.5,1.525]",1.5,1.525,0.025,tmp,0.006703669774209193,0.0013579781214635986,0.005378024465161395,NA,NA
239,"(1.525,1.55]",1.525,1.55,0.025,tmp,0.007436546855633993,0,0.004817589049954195,NA,NA
240,"(1.55,1.575]",1.55,1.575,0.025,tmp,0.008481974457078191,0,0.005528910923101794,NA,NA
241,"(1.575,1.6]",1.575,1.6,0.025,tmp,0.007813763000484992,0.04139677749636256,0.004666702592013796,NA,NA
242,"(1.6,1.625]",1.6,1.625,0.025,tmp,0.0077706525839305925,0,0.004968475507894595,NA,NA
243,"(1.625,1.65]",1.625,1.65,0.025,tmp,0.0074904348763269925,0,0.004936142695478795,NA,NA
244,"(1.65,1.675]",1.65,1.675,0.025,tmp,0.007414991647356792,0,0.0051840275906665945,NA,NA
245,"(1.675,1.7]",1.675,1.7,0.025,tmp,0.0075227676887427925,0.04068545562321496,0.004526593738211996,NA,NA
246,"(1.7,1.725]",1.7,1.725,0.025,tmp,0.006962332273535593,6.789890607317993e-4,0.004828366654092795,NA,NA
247,"(1.725,1.75]",1.725,1.75,0.025,tmp,0.006994665085951393,0,0.005119361965834995,NA,NA
248,"(1.75,1.775]",1.75,1.775,0.025,tmp,0.0076305437301287925,0,0.0045589265506277956,NA,NA
249,"(1.775,1.8]",1.775,1.8,0.025,tmp,0.006865333836288193,0.03440211241041117,0.004709813008568195,NA,NA
250,"(1.8,1.825]",1.8,1.825,0.025,tmp,0.007598210917712993,0,0.004289486447162796,NA,NA
251,"(1.825,1.85]",1.825,1.85,0.025,tmp,0.007598210917712993,0,0.004440372905103195,NA,NA
252,"(1.85,1.875]",1.85,1.875,0.025,tmp,0.007673654146683193,0,0.004127822385083796,NA,NA
253,"(1.875,1.9]",1.875,1.9,0.025,tmp,0.007371881230802392,0.03169693377162257,0.004257153634746996,NA,NA
254,"(1.9,1.925]",1.9,1.925,0.025,tmp,0.008481974457078191,0,0.003955380718866196,NA,NA
255,"(1.925,1.95]",1.925,1.95,0.025,tmp,0.007889206229455192,0,0.004149377593360996,NA,NA
256,"(1.95,1.975]",1.95,1.975,0.025,tmp,0.008902301018483591,0,0.004494260925796196,NA,NA
257,"(1.975,2]",1.975,2,0.025,tmp,0.00921485153850299,0.016834617664493182,0.004472705717518995,NA,NA
258,"(2,2.025]",2,2.025,0.025,tmp,0.00958129007921539,0.0034488333243519968,0.003976935927143396,NA,NA
259,"(2.025,2.05]",2.025,2.05,0.025,tmp,0.01042194320202619,0,0.0039014926981731962,NA,NA
260,"(2.05,2.075]",2.05,2.075,0.025,tmp,0.00991539580751199,0,0.004364929676132996,NA,NA
261,"(2.075,2.1]",2.075,2.1,0.025,tmp,0.010497386430996389,0.011963140593845989,0.004278708843024196,NA,NA
262,"(2.1,2.125]",2.1,2.125,0.025,tmp,0.010368055181333189,0,0.0041709328016381955,NA,NA
263,"(2.125,2.15]",2.125,2.15,0.025,tmp,0.01023872393166999,0,0.0042032656140539955,NA,NA
264,"(2.15,2.175]",2.15,2.175,0.025,tmp,0.01059438486824379,0,0.004073934364390796,NA,NA
265,"(2.175,2.2]",2.175,2.2,0.025,tmp,0.011639812469687988,0.004117044780945196,0.004364929676132996,NA,NA
266,"(2.2,2.225]",2.2,2.225,0.025,tmp,0.011197930700005389,0,0.004235598426469795,NA,NA
267,"(2.225,2.25]",2.225,2.25,0.025,tmp,0.011973918197984589,0,0.004429595300964596,NA,NA
268,"(2.25,2.275]",2.25,2.275,0.025,tmp,0.01107937705448079,0,0.0044834833216575954,NA,NA
269,"(2.275,2.3]",2.275,2.3,0.025,tmp,0.012081694239370588,3.2332812415799966e-5,0.004602036967182196,NA,NA
270,"(2.3,2.325]",2.3,2.325,0.025,tmp,0.012297246322142588,0,0.004472705717518995,NA,NA
271,"(2.325,2.35]",2.325,2.35,0.025,tmp,0.012297246322142588,0,0.005248693215498194,NA,NA
272,"(2.35,2.375]",2.35,2.375,0.025,tmp,0.012566686425607588,0,0.0045912593630435955,NA,NA
273,"(2.375,2.4]",2.375,2.4,0.025,tmp,0.013439672360834187,0,0.005194805194805195,NA,NA
274,"(2.4,2.425]",2.4,2.425,0.025,tmp,0.012351134342835588,0,0.0045589265506277956,NA,NA
275,"(2.425,2.45]",2.425,2.45,0.025,tmp,0.011650590073826588,0,0.005270248423775395,NA,NA
276,"(2.45,2.475]",2.45,2.475,0.025,tmp,0.011844586948321387,0,0.004979253112033195,NA,NA
277,"(2.475,2.5]",2.475,2.5,0.025,tmp,0.010971601013094788,0,0.005367246861022795,NA,NA
278,"(2.5,2.525]",2.5,2.525,0.025,tmp,0.01086382497170879,0,0.005270248423775395,NA,NA
279,"(2.525,2.55]",2.525,2.55,0.025,tmp,0.011478148407608989,0,0.0052163604030823945,NA,NA
280,"(2.55,2.575]",2.55,2.575,0.025,tmp,0.011532036428301988,0,0.005248693215498194,NA,NA
281,"(2.575,2.6]",2.575,2.6,0.025,tmp,0.011661367677965188,0,0.005507355714824595,NA,NA
282,"(2.6,2.625]",2.6,2.625,0.025,tmp,0.011316484345529988,0,0.005669019776903594,NA,NA
283,"(2.625,2.65]",2.625,2.65,0.025,tmp,0.011715255698658188,0,0.005378024465161395,NA,NA
284,"(2.65,2.675]",2.65,2.675,0.025,tmp,0.01013094789028399,0,0.005097806757557795,NA,NA
285,"(2.675,2.7]",2.675,2.7,0.025,tmp,0.009462736433690791,0,0.005981570296922994,NA,NA
286,"(2.7,2.725]",2.7,2.725,0.025,tmp,0.01080993695101579,0,0.0058845718596755945,NA,NA
287,"(2.725,2.75]",2.725,2.75,0.025,tmp,0.01129492913725279,0,0.005722907797596594,NA,NA
288,"(2.75,2.775]",2.75,2.775,0.025,tmp,0.011241041116559788,0,0.005992347901061594,NA,NA
289,"(2.775,2.8]",2.775,2.8,0.025,tmp,0.011769143719351189,0,0.0054642452982701945,NA,NA
290,"(2.8,2.825]",2.8,2.825,0.025,tmp,0.011488926011747589,0,0.005313358840329794,NA,NA
291,"(2.825,2.85]",2.825,2.85,0.025,tmp,0.011963140593845989,0,0.005539688527240395,NA,NA
292,"(2.85,2.875]",2.85,2.875,0.025,tmp,0.011984695802123187,0,0.005561243735517594,NA,NA
