variable,metric,statistic,ccsm,cnrm,hadg,hist
ppt,djf,mean,814.4909251438427,957.3575663629133,715.6380535793618,591.3822643342727
ppt,djf,median,776.20001220703125,911.70001220703125,692.4000244140625,583.70001220703125
ppt,djf,min,345.5,402.3999938964844,289.2000122070312,246.5
ppt,djf,max,1804.199951171875,2132.699951171875,1601.599975585938,1054.099975585938
ppt,djf,count,92785,92785,92785,92785
ppt,jja,mean,10.623901495332507,20.910099694435534,14.239448194241172,3.2351177439990533
ppt,jja,median,9.899999618530272,20.79999923706055,15.39999961853027,3.099999904632568
ppt,jja,min,4.699999809265137,9.199999809265137,3.099999904632568,1.100000023841858
ppt,jja,max,22.70000076293945,32,22.79999923706055,6.400000095367432
ppt,jja,count,92785,92785,92785,92785
tmp,avg,mean,16.599604464026946,16.573937604540014,17.74154949821377,14.355712048686346
tmp,avg,median,16.85000038146973,16.79999923706055,18,14.48100090026855
tmp,avg,min,13.44999980926514,13.39999961853027,14.29549980163574,11.31150054931641
tmp,avg,max,18.20000076293945,18.20000076293945,19.35549926757812,16.1879997253418
tmp,avg,count,92785,92785,92785,92785
tmp,djf,mean,7.100003232065316,5.476688035673132,7.095305274122201,4.870019926662273
tmp,djf,median,7.099999904632568,5.5,7,4.699999809265137
tmp,djf,min,1.299999952316284,-0.2000000029802322,1.100000023841858,3.599999904632568
tmp,djf,max,10.60000038146973,8.899999618530273,11,8
tmp,djf,count,92785,92785,92785,92785
tmp,jja,mean,28.612426567807397,28.952386682231527,30.175830119731657,26.373783464694373
tmp,jja,median,29.39999961853027,29.79999923706055,31.20000076293945,27.18070030212402
tmp,jja,min,20.29999923706055,20.60000038146973,22.10000038146973,16.24900054931641
tmp,jja,max,33.59999847412109,33.59999847412109,35.09999847412109,32.43569946289062
tmp,jja,count,92785,92785,92785,92785
