variable,metric,statistic,hist,ccsm,cnrm,hadg,order,comment
ppt,djf,mean,591.3822643342727,814.4909251438427,957.3575663629133,715.6380535793618,1,raw values
ppt,djf,median,583.70001220703125,776.20001220703125,911.70001220703125,692.4000244140625,2,raw values
ppt,djf,min,246.5,345.5,402.3999938964844,289.2000122070312,3,raw values
ppt,djf,max,1054.099975585938,1804.199951171875,2132.699951171875,1601.599975585938,4,raw values
ppt,djf,count,92785,92785,92785,92785,5,raw values
ppt,jja,mean,3.2351177439990533,10.623901495332507,20.910099694435534,14.239448194241172,1,raw values
ppt,jja,median,3.099999904632568,9.899999618530272,20.79999923706055,15.39999961853027,2,raw values
ppt,jja,min,1.100000023841858,4.699999809265137,9.199999809265137,3.099999904632568,3,raw values
ppt,jja,max,6.400000095367432,22.70000076293945,32,22.79999923706055,4,raw values
ppt,jja,count,92785,92785,92785,92785,5,raw values
tmp,avg,mean,14.355712048686346,16.599604464026946,16.573937604540014,17.74154949821377,1,raw values
tmp,avg,median,14.48100090026855,16.85000038146973,16.79999923706055,18,2,raw values
tmp,avg,min,11.31150054931641,13.44999980926514,13.39999961853027,14.29549980163574,3,raw values
tmp,avg,max,16.1879997253418,18.20000076293945,18.20000076293945,19.35549926757812,4,raw values
tmp,avg,count,92785,92785,92785,92785,5,raw values
tmp,djf,mean,4.870019926662273,7.100003232065316,5.476688035673132,7.095305274122201,1,raw values
tmp,djf,median,4.699999809265137,7.099999904632568,5.5,7,2,raw values
tmp,djf,min,3.599999904632568,1.299999952316284,-0.2000000029802322,1.100000023841858,3,raw values
tmp,djf,max,8,10.60000038146973,8.899999618530273,11,4,raw values
tmp,djf,count,92785,92785,92785,92785,5,raw values
tmp,jja,mean,26.373783464694373,28.612426567807397,28.952386682231527,30.175830119731657,1,raw values
tmp,jja,median,27.18070030212402,29.39999961853027,29.79999923706055,31.20000076293945,2,raw values
tmp,jja,min,16.24900054931641,20.29999923706055,20.60000038146973,22.10000038146973,3,raw values
tmp,jja,max,32.43569946289062,33.59999847412109,33.59999847412109,35.09999847412109,4,raw values
tmp,jja,count,92785,92785,92785,92785,5,raw values
