n_bin,bin,bin_from,bin_to,bin_size,variable,ppt_djf,ppt_jja
1,"(1.875,1.9]",1.875,1.9,0.025,ppt,0,4.3110416554399954e-5
2,"(1.975,2]",1.975,2,0.025,ppt,0,4.311041655439996e-4
3,"(2.075,2.1]",2.075,2.1,0.025,ppt,0,0.001099315622137199
4,"(2.175,2.2]",2.175,2.2,0.025,ppt,0,0.0015519749959583985
5,"(2.275,2.3]",2.275,2.3,0.025,ppt,0,0.0024896265560165973
6,"(2.3,2.325]",2.3,2.325,0.025,ppt,0,6.358786441773993e-4
7,"(2.375,2.4]",2.375,2.4,0.025,ppt,0,0.0022740744732445977
8,"(2.475,2.5]",2.475,2.5,0.025,ppt,0,0.0016705286414829983
9,"(2.575,2.6]",2.575,2.6,0.025,ppt,0,0.0017998598911461983
10,"(2.675,2.7]",2.675,2.7,0.025,ppt,0,0.0017244166621759984
11,"(2.775,2.8]",2.775,2.8,0.025,ppt,0,0.0013579781214635986
12,"(2.8,2.825]",2.8,2.825,0.025,ppt,0,0.0012394244759389988
13,"(2.875,2.9]",2.875,2.9,0.025,ppt,0,0.005593576547933394
14,"(2.975,3]",2.975,3,0.025,ppt,0,0.005054696341003395
15,"(3,3.025]",3,3.025,0.025,ppt,0,0.003276391658134397
16,"(3.075,3.1]",3.075,3.1,0.025,ppt,0,0.005809128630705394
17,"(3.1,3.125]",3.1,3.125,0.025,ppt,0,1.7244166621759982e-4
18,"(3.175,3.2]",3.175,3.2,0.025,ppt,0,0.0050439187368647945
19,"(3.275,3.3]",3.275,3.3,0.025,ppt,0,0.005097806757557795
20,"(3.375,3.4]",3.375,3.4,0.025,ppt,0,0.0060893463383089935
21,"(3.475,3.5]",3.475,3.5,0.025,ppt,0,0.005658242172764994
22,"(3.5,3.525]",3.5,3.525,0.025,ppt,0,0.0012609796842161986
23,"(3.575,3.6]",3.575,3.6,0.025,ppt,0,0.006251010400387994
24,"(3.6,3.625]",3.6,3.625,0.025,ppt,0,7.005442690089993e-4
25,"(3.675,3.7]",3.675,3.7,0.025,ppt,0,0.007878428625316592
26,"(3.775,3.8]",3.775,3.8,0.025,ppt,0,0.00917174112194859
27,"(3.875,3.9]",3.875,3.9,0.025,ppt,0,0.00931184997575039
28,"(3.975,4]",3.975,4,0.025,ppt,0,0.00966751091232419
29,"(4.075,4.1]",4.075,4.1,0.025,ppt,0,0.008999299455730992
30,"(4.1,4.125]",4.1,4.125,0.025,ppt,0,0.0016058630166513985
31,"(4.175,4.2]",4.175,4.2,0.025,ppt,0,0.01027105674408579
32,"(4.275,4.3]",4.275,4.3,0.025,ppt,0,0.010853047367570189
33,"(4.375,4.4]",4.375,4.4,0.025,ppt,0,0.010702160909629789
34,"(4.475,4.5]",4.475,4.5,0.025,ppt,0,0.011251818720698388
35,"(4.5,4.525]",4.5,4.525,0.025,ppt,0,9.69984372473999e-5
36,"(4.575,4.6]",4.575,4.6,0.025,ppt,0,0.008363420811553592
37,"(4.6,4.625]",4.6,4.625,0.025,ppt,0,0.0036643854071239964
38,"(4.675,4.7]",4.675,4.7,0.025,ppt,0,0.013816888505685186
39,"(4.7,4.725]",4.7,4.725,0.025,ppt,0,2.155520827719998e-4
40,"(4.775,4.8]",4.775,4.8,0.025,ppt,0,0.015196421835425985
41,"(4.875,4.9]",4.875,4.9,0.025,ppt,0,0.01975534838605378
42,"(4.975,5]",4.975,5,0.025,ppt,0,0.016910060893463384
43,"(5,5.025]",5,5.025,0.025,ppt,0,0.001099315622137199
44,"(5.075,5.1]",5.075,5.1,0.025,ppt,0,0.017998598911461983
45,"(5.175,5.2]",5.175,5.2,0.025,ppt,0,0.01694239370587918
46,"(5.2,5.225]",5.2,5.225,0.025,ppt,0,0.0013148677049091987
47,"(5.275,5.3]",5.275,5.3,0.025,ppt,0,0.012771460904240988
48,"(5.3,5.325]",5.3,5.325,0.025,ppt,0,0.007749097375653392
49,"(5.375,5.4]",5.375,5.4,0.025,ppt,0,0.019626017136390582
50,"(5.475,5.5]",5.475,5.5,0.025,ppt,0,0.016920838497601984
51,"(5.5,5.525]",5.5,5.525,0.025,ppt,0,0.001853747911839198
52,"(5.575,5.6]",5.575,5.6,0.025,ppt,0,0.01874225359702538
53,"(5.675,5.7]",5.675,5.7,0.025,ppt,0,0.015476639543029585
54,"(5.7,5.725]",5.7,5.725,0.025,ppt,0,0.0034919437409063965
55,"(5.775,5.8]",5.775,5.8,0.025,ppt,0,0.019485908282588782
56,"(5.875,5.9]",5.875,5.9,0.025,ppt,0,0.01910869213773778
57,"(5.975,6]",5.975,6,0.025,ppt,0,0.014172549442258986
58,"(6,6.025]",6,6.025,0.025,ppt,0,0.004612814571320795
59,"(6.075,6.1]",6.075,6.1,0.025,ppt,0,0.017308832246591584
60,"(6.175,6.2]",6.175,6.2,0.025,ppt,0,0.012890014549765587
61,"(6.2,6.225]",6.2,6.225,0.025,ppt,0,0.003330279678827397
62,"(6.275,6.3]",6.275,6.3,0.025,ppt,0,0.017265721830037183
63,"(6.375,6.4]",6.375,6.4,0.025,ppt,0,0.017093280163819582
64,"(6.475,6.5]",6.475,6.5,0.025,ppt,0,0.013428894756695587
65,"(6.5,6.525]",6.5,6.525,0.025,ppt,0,0.002963841138114997
66,"(6.575,6.6]",6.575,6.6,0.025,ppt,0,0.013504337985665787
67,"(6.675,6.7]",6.675,6.7,0.025,ppt,0,0.009538179662660991
68,"(6.7,6.725]",6.7,6.725,0.025,ppt,0,0.0023279624939375977
69,"(6.775,6.8]",6.775,6.8,0.025,ppt,0,0.012545131217330387
70,"(6.875,6.9]",6.875,6.9,0.025,ppt,0,0.011629034865549389
71,"(6.975,7]",6.975,7,0.025,ppt,0,0.008600528102602792
72,"(7,7.025]",7,7.025,0.025,ppt,0,0.0038152718650643963
73,"(7.075,7.1]",7.075,7.1,0.025,ppt,0,0.011995473406261788
74,"(7.175,7.2]",7.175,7.2,0.025,ppt,0,0.009462736433690791
75,"(7.2,7.225]",7.2,7.225,0.025,ppt,0,0.0024896265560165973
76,"(7.275,7.3]",7.275,7.3,0.025,ppt,0,0.01075604893032279
77,"(7.375,7.4]",7.375,7.4,0.025,ppt,0,0.00996928382820499
78,"(7.475,7.5]",7.475,7.5,0.025,ppt,0,0.007307215605970792
79,"(7.5,7.525]",7.5,7.525,0.025,ppt,0,0.0026081802015411972
80,"(7.575,7.6]",7.575,7.6,0.025,ppt,0,0.00989384059923479
81,"(7.675,7.7]",7.675,7.7,0.025,ppt,0,0.008762192164681791
82,"(7.7,7.725]",7.7,7.725,0.025,ppt,0,0.0017351942663145982
83,"(7.775,7.8]",7.775,7.8,0.025,ppt,0,0.011478148407608989
84,"(7.875,7.9]",7.875,7.9,0.025,ppt,0,0.012124804655924987
85,"(7.975,8]",7.975,8,0.025,ppt,0,0.00973217653715579
86,"(8.075,8.1]",8.075,8.1,0.025,ppt,0,0.00944118122541359
87,"(8.175,8.2]",8.175,8.2,0.025,ppt,0,0.006175567171417794
88,"(8.2,8.225]",8.2,8.225,0.025,ppt,0,0.0012394244759389988
