n_bin,bin,bin_from,bin_to,bin_size,variable,cwd_avg,variable_metric,metric
1,"[-1258,-1257.97]",NA,-1257.97,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
2,"(-1257.33,-1257.3]",-1257.33,-1257.3,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
3,"(-1251.92,-1251.9]",-1251.92,-1251.9,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
4,"(-1237.92,-1237.9]",-1237.92,-1237.9,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
5,"(-1234.42,-1234.4]",-1234.42,-1234.4,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
6,"(-1232.53,-1232.5]",-1232.53,-1232.5,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
7,"(-1228.33,-1228.3]",-1228.33,-1228.3,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
8,"(-1205.6,-1205.58]",-1205.6,-1205.58,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
9,"(-1201.62,-1201.6]",-1201.62,-1201.6,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
10,"(-1200.22,-1200.2]",-1200.22,-1200.2,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
11,"(-1186.53,-1186.5]",-1186.53,-1186.5,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
12,"(-1185.83,-1185.8]",-1185.83,-1185.8,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
13,"(-1184.72,-1184.7]",-1184.72,-1184.7,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
14,"(-1175.7,-1175.67]",-1175.7,-1175.67,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
15,"(-1175.03,-1175]",-1175.03,-1175,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
16,"(-1173.62,-1173.6]",-1173.62,-1173.6,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
17,"(-1173.03,-1173]",-1173.03,-1173,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
18,"(-1172.22,-1172.2]",-1172.22,-1172.2,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
19,"(-1171.53,-1171.5]",-1171.53,-1171.5,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
20,"(-1170.03,-1170]",-1170.03,-1170,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
21,"(-1169.62,-1169.6]",-1169.62,-1169.6,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
22,"(-1169.2,-1169.17]",-1169.2,-1169.17,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
23,"(-1169.03,-1169]",-1169.03,-1169,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
24,"(-1168.62,-1168.6]",-1168.62,-1168.6,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
25,"(-1168.42,-1168.4]",-1168.42,-1168.4,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
26,"(-1168.2,-1168.17]",-1168.2,-1168.17,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
27,"(-1168.12,-1168.1]",-1168.12,-1168.1,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
28,"(-1167.92,-1167.9]",-1167.92,-1167.9,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
29,"(-1167.7,-1167.67]",-1167.7,-1167.67,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
30,"(-1167.62,-1167.6]",-1167.62,-1167.6,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
31,"(-1167.42,-1167.4]",-1167.42,-1167.4,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
32,"(-1167.33,-1167.3]",-1167.33,-1167.3,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
33,"(-1167.22,-1167.2]",-1167.22,-1167.2,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
34,"(-1167.2,-1167.17]",-1167.2,-1167.17,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
35,"(-1167.12,-1167.1]",-1167.12,-1167.1,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
36,"(-1167.03,-1167]",-1167.03,-1167,0.025,cwd,8.622083310879991e-5,cwd_avg,avg
37,"(-1166.92,-1166.9]",-1166.92,-1166.9,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
38,"(-1166.83,-1166.8]",-1166.83,-1166.8,0.025,cwd,4.3110416554399954e-5,cwd_avg,avg
39,"(-1166.7,-1166.67]",-1166.7,-1166.67,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
40,"(-1166.62,-1166.6]",-1166.62,-1166.6,0.025,cwd,6.466562483159993e-5,cwd_avg,avg
41,"(-1166.53,-1166.5]",-1166.53,-1166.5,0.025,cwd,4.3110416554399954e-5,cwd_avg,avg
42,"(-1166.42,-1166.4]",-1166.42,-1166.4,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
43,"(-1166.33,-1166.3]",-1166.33,-1166.3,0.025,cwd,4.3110416554399954e-5,cwd_avg,avg
44,"(-1166.22,-1166.2]",-1166.22,-1166.2,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
45,"(-1166.2,-1166.17]",-1166.2,-1166.17,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
46,"(-1166.12,-1166.1]",-1166.12,-1166.1,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
47,"(-1166.03,-1166]",-1166.03,-1166,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
48,"(-1165.92,-1165.9]",-1165.92,-1165.9,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
49,"(-1165.83,-1165.8]",-1165.83,-1165.8,0.025,cwd,5.388802069299995e-5,cwd_avg,avg
50,"(-1165.72,-1165.7]",-1165.72,-1165.7,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
51,"(-1165.62,-1165.6]",-1165.62,-1165.6,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
52,"(-1165.42,-1165.4]",-1165.42,-1165.4,0.025,cwd,4.3110416554399954e-5,cwd_avg,avg
53,"(-1165.33,-1165.3]",-1165.33,-1165.3,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
54,"(-1165.22,-1165.2]",-1165.22,-1165.2,0.025,cwd,4.3110416554399954e-5,cwd_avg,avg
55,"(-1165.2,-1165.17]",-1165.2,-1165.17,0.025,cwd,5.388802069299995e-5,cwd_avg,avg
56,"(-1165.12,-1165.1]",-1165.12,-1165.1,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
57,"(-1165.03,-1165]",-1165.03,-1165,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
58,"(-1164.92,-1164.9]",-1164.92,-1164.9,0.025,cwd,1.0777604138599989e-5,cwd_avg,avg
59,"(-1164.72,-1164.7]",-1164.72,-1164.7,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
60,"(-1164.7,-1164.67]",-1164.7,-1164.67,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
61,"(-1164.62,-1164.6]",-1164.62,-1164.6,0.025,cwd,3.2332812415799966e-5,cwd_avg,avg
62,"(-1164.53,-1164.5]",-1164.53,-1164.5,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
63,"(-1164.42,-1164.4]",-1164.42,-1164.4,0.025,cwd,2.1555208277199977e-5,cwd_avg,avg
64,"(-1164.33,-1164.3]",-1164.33,-1164.3,0.025,cwd,5.388802069299995e-5,cwd_avg,avg
