n_bin,bin,bin_from,bin_to,bin_size,variable,ppt_djf,ppt_jja,variable_metric,metric
1,"(1.9,1.925]",1.9,1.925,0.025,ppt,0,4.3110416554399954e-5,ppt_jja,jja
2,"(1.975,2]",1.975,2,0.025,ppt,0,4.311041655439996e-4,ppt_jja,jja
3,"(2.075,2.1]",2.075,2.1,0.025,ppt,0,0.001099315622137199,ppt_jja,jja
4,"(2.175,2.2]",2.175,2.2,0.025,ppt,0,0.0015519749959583985,ppt_jja,jja
5,"(2.275,2.3]",2.275,2.3,0.025,ppt,0,0.0024896265560165973,ppt_jja,jja
6,"(2.3,2.325]",2.3,2.325,0.025,ppt,0,6.358786441773993e-4,ppt_jja,jja
7,"(2.375,2.4]",2.375,2.4,0.025,ppt,0,0.0022740744732445977,ppt_jja,jja
8,"(2.475,2.5]",2.475,2.5,0.025,ppt,0,0.0016705286414829983,ppt_jja,jja
9,"(2.575,2.6]",2.575,2.6,0.025,ppt,0,0.0017998598911461983,ppt_jja,jja
10,"(2.675,2.7]",2.675,2.7,0.025,ppt,0,0.0017244166621759984,ppt_jja,jja
11,"(2.775,2.8]",2.775,2.8,0.025,ppt,0,0.0013579781214635986,ppt_jja,jja
12,"(2.8,2.825]",2.8,2.825,0.025,ppt,0,0.0012394244759389988,ppt_jja,jja
13,"(2.875,2.9]",2.875,2.9,0.025,ppt,0,0.005593576547933394,ppt_jja,jja
14,"(2.975,3]",2.975,3,0.025,ppt,0,0.005054696341003395,ppt_jja,jja
15,"(3,3.025]",3,3.025,0.025,ppt,0,0.003276391658134397,ppt_jja,jja
16,"(3.075,3.1]",3.075,3.1,0.025,ppt,0,0.005809128630705394,ppt_jja,jja
17,"(3.1,3.125]",3.1,3.125,0.025,ppt,0,1.7244166621759982e-4,ppt_jja,jja
18,"(3.175,3.2]",3.175,3.2,0.025,ppt,0,0.0050439187368647945,ppt_jja,jja
19,"(3.275,3.3]",3.275,3.3,0.025,ppt,0,0.005097806757557795,ppt_jja,jja
20,"(3.375,3.4]",3.375,3.4,0.025,ppt,0,0.0060893463383089935,ppt_jja,jja
21,"(3.475,3.5]",3.475,3.5,0.025,ppt,0,0.005658242172764994,ppt_jja,jja
22,"(3.5,3.525]",3.5,3.525,0.025,ppt,0,0.0012609796842161986,ppt_jja,jja
23,"(3.575,3.6]",3.575,3.6,0.025,ppt,0,0.006251010400387994,ppt_jja,jja
24,"(3.6,3.625]",3.6,3.625,0.025,ppt,0,7.005442690089993e-4,ppt_jja,jja
25,"(3.675,3.7]",3.675,3.7,0.025,ppt,0,0.007878428625316592,ppt_jja,jja
26,"(3.775,3.8]",3.775,3.8,0.025,ppt,0,0.00917174112194859,ppt_jja,jja
27,"(3.875,3.9]",3.875,3.9,0.025,ppt,0,0.00931184997575039,ppt_jja,jja
28,"(3.975,4]",3.975,4,0.025,ppt,0,0.00966751091232419,ppt_jja,jja
29,"(4.075,4.1]",4.075,4.1,0.025,ppt,0,0.008999299455730992,ppt_jja,jja
30,"(4.1,4.125]",4.1,4.125,0.025,ppt,0,0.0016058630166513985,ppt_jja,jja
31,"(4.175,4.2]",4.175,4.2,0.025,ppt,0,0.01027105674408579,ppt_jja,jja
32,"(4.275,4.3]",4.275,4.3,0.025,ppt,0,0.010853047367570189,ppt_jja,jja
33,"(4.375,4.4]",4.375,4.4,0.025,ppt,0,0.010702160909629789,ppt_jja,jja
34,"(4.475,4.5]",4.475,4.5,0.025,ppt,0,0.011251818720698388,ppt_jja,jja
35,"(4.5,4.525]",4.5,4.525,0.025,ppt,0,9.69984372473999e-5,ppt_jja,jja
36,"(4.575,4.6]",4.575,4.6,0.025,ppt,0,0.008363420811553592,ppt_jja,jja
37,"(4.6,4.625]",4.6,4.625,0.025,ppt,0,0.0036643854071239964,ppt_jja,jja
38,"(4.675,4.7]",4.675,4.7,0.025,ppt,0,0.013816888505685186,ppt_jja,jja
39,"(4.7,4.725]",4.7,4.725,0.025,ppt,0,2.155520827719998e-4,ppt_jja,jja
40,"(4.775,4.8]",4.775,4.8,0.025,ppt,0,0.015196421835425985,ppt_jja,jja
41,"(4.875,4.9]",4.875,4.9,0.025,ppt,0,0.01975534838605378,ppt_jja,jja
42,"(4.975,5]",4.975,5,0.025,ppt,0,0.016910060893463384,ppt_jja,jja
43,"(5,5.025]",5,5.025,0.025,ppt,0,0.001099315622137199,ppt_jja,jja
44,"(5.075,5.1]",5.075,5.1,0.025,ppt,0,0.017998598911461983,ppt_jja,jja
45,"(5.175,5.2]",5.175,5.2,0.025,ppt,0,0.01694239370587918,ppt_jja,jja
