n_bin,bin,bin_from,bin_to,bin_size,variable,rnr_avg,variable_metric,metric
1,"(-783.92,-783.9]",-783.92,-783.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
2,"(-763.02,-763]",-763.02,-763,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
3,"(-723.62,-723.6]",-723.62,-723.6,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
4,"(-679.42,-679.4]",-679.42,-679.4,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
5,"(-654.02,-654]",-654.02,-654,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
6,"(-623.83,-623.8]",-623.83,-623.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
7,"(-612.23,-612.2]",-612.23,-612.2,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
8,"(-609.23,-609.2]",-609.23,-609.2,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
9,"(-607.52,-607.5]",-607.52,-607.5,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
10,"(-602.92,-602.9]",-602.92,-602.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
11,"(-570.33,-570.3]",-570.33,-570.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
12,"(-566.02,-566]",-566.02,-566,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
13,"(-557.83,-557.8]",-557.83,-557.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
14,"(-555.73,-555.7]",-555.73,-555.7,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
15,"(-547.83,-547.8]",-547.83,-547.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
16,"(-545.33,-545.3]",-545.33,-545.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
17,"(-540.73,-540.7]",-540.73,-540.7,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
18,"(-527.12,-527.1]",-527.12,-527.1,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
19,"(-526.12,-526.1]",-526.12,-526.1,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
20,"(-522.22,-522.2]",-522.22,-522.2,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
21,"(-521.62,-521.6]",-521.62,-521.6,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
22,"(-521.33,-521.3]",-521.33,-521.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
23,"(-509.82,-509.8]",-509.82,-509.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
24,"(-508.32,-508.3]",-508.32,-508.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
25,"(-490.75,-490.72]",-490.75,-490.72,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
26,"(-467.22,-467.2]",-467.22,-467.2,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
27,"(-458.92,-458.9]",-458.92,-458.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
28,"(-456.55,-456.52]",-456.55,-456.52,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
29,"(-455.7,-455.67]",-455.7,-455.67,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
30,"(-454.92,-454.9]",-454.92,-454.9,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
31,"(-450.9,-450.88]",-450.9,-450.88,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
32,"(-442.32,-442.3]",-442.32,-442.3,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
33,"(-440.82,-440.8]",-440.82,-440.8,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
34,"(-439.62,-439.6]",-439.62,-439.6,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
35,"(-439.1,-439.07]",-439.1,-439.07,0.025,rnr,1.0777604138599989e-5,rnr_avg,avg
